State,Year,Season,Crop,Area,Production,Rainfall
Andaman and Nicobar Islands,2000,Kharif     ,Arecanut,1254,2000,2763.2
Andaman and Nicobar Islands,2000,Kharif     ,Other Kharif pulses,2,1,2763.2
Andaman and Nicobar Islands,2000,Kharif     ,Rice,102,321,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Banana,176,641,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Cashewnut,720,165,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Coconut ,18168,65100000,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Dry ginger,36,100,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Sugarcane,1,2,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Sweet potato,5,15,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Tapioca,40,169,2763.2
Andaman and Nicobar Islands,2001,Kharif     ,Arecanut,1254,2061,3080.9
Andaman and Nicobar Islands,2001,Kharif     ,Other Kharif pulses,2,1,3080.9
Andaman and Nicobar Islands,2001,Kharif     ,Rice,83,300,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Cashewnut,719,192,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Coconut ,18190,64430000,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Dry ginger,46,100,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Sugarcane,1,1,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Sweet potato,11,33,3080.9
Andaman and Nicobar Islands,2002,Kharif     ,Rice,189.2,510.84,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Arecanut,1258,2083,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Banana,213,1278,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Black pepper,63,13.5,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Cashewnut,719,208,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Coconut ,18240,67490000,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Dry chillies,413,28.8,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Dry ginger,47.3,133,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Sugarcane,5,40,2620.2
Andaman and Nicobar Islands,2003,Kharif     ,Rice,52,90.17,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Arecanut,1261,1525,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Banana,266,1763,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Black pepper,75.5,15.86,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Cashewnut,717,208.5,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Coconut ,18284.74,68580000,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Dry chillies,60,102,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Dry ginger,102,326.4,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,other oilseeds,4.2,0.3,2355.9
Andaman and Nicobar Islands,2004,Kharif     ,Rice,52.94,72.57,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Arecanut,1264.7,805.85,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Banana,66.42,404.12,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Black pepper,85,15.86,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Cashewnut,683.5,197.9,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Coconut ,18394.7,52380000,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Dry chillies,60,145.2,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Dry ginger,118,366,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,other oilseeds,1,0.11,2460.1
Andaman and Nicobar Islands,2005,Kharif     ,Rice,2.09,12.06,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Banana,22,582,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Black pepper,41,0.1,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Cashewnut,450,55.8,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Coconut ,13876.57,52030000,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Turmeric,10,70,2954.7
Andaman and Nicobar Islands,2006,Whole Year ,Arecanut,896,477.6,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Banana,198,976,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Black pepper,22.16,0.68,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,450,85.13,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Coconut ,14358,59370000,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry chillies,3,9,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry ginger,6,21,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,0.2,0.5,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Sweet potato,18,86,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Tapioca,52.03,450,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Turmeric,2.5,1.03,2404.7
Andaman and Nicobar Islands,2010,Autumn     ,Rice,3.5,10,3157.1
Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,13.4,41.75,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Arecanut,944,1610,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Black pepper,23,8.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Cashewnut,1000.5,260.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Dry chillies,12,25,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Dry ginger,7,9.64,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Maize,3.84,18.22,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Moong(Green Gram),1.5,1.1,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Sweet potato,22,208,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Turmeric,2,0.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Urad,1.5,1.16,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Banana,593,3425,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Coconut ,14560,71300000,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Tapioca,69,575,3157.1
Andaman and Nicobar Islands,2000,Kharif     ,Arecanut,3100,5200,2763.2
Andaman and Nicobar Islands,2000,Kharif     ,Other Kharif pulses,668,448,2763.2
Andaman and Nicobar Islands,2000,Kharif     ,Rice,10779,31863,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Banana,1531,12073,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Cashewnut,80,54,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Coconut ,6992,23900000,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Dry ginger,352,1120,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,other oilseeds,133,55,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Sugarcane,141,3736,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Sweet potato,78,843,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Tapioca,160,2108,2763.2
Andaman and Nicobar Islands,2001,Kharif     ,Arecanut,3100,5239,3080.9
Andaman and Nicobar Islands,2001,Kharif     ,Other Kharif pulses,418,199,3080.9
Andaman and Nicobar Islands,2001,Kharif     ,Rice,9718,27033,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Cashewnut,81,33,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Coconut ,7015,25250000,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Dry ginger,344,1124,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Sugarcane,81,2379,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Sweet potato,100,5,3080.9
Andaman and Nicobar Islands,2006,Kharif     ,Rice,6854.3,18995.62,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Arecanut,1160,3011.7,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Banana,957.57,8582,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Black pepper,175,191.14,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,40.5,44,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Coconut ,3575,15400000,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry chillies,235.72,824.3,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry ginger,98.66,929,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,other oilseeds,35.62,21.4,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,71.3,1500,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Sweet potato,30,240,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Tapioca,255,1420,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Turmeric,68,408,2404.7
Andaman and Nicobar Islands,2010,Autumn     ,Rice,6791,20118,3157.1
Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,73.33,889.2,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Arecanut,1296,2290,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Arhar/Tur,294.5,90.8,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Black pepper,168,13.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Cashewnut,84.5,39,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Dry chillies,254,402,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Dry ginger,110,1011.84,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Groundnut,4.75,6.8,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Maize,86.7,96.4,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Moong(Green Gram),1168.6,556.55,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Sunflower,2.9,1.9,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Sweet potato,109,480,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Turmeric,68,376.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Urad,1059.5,458.79,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Banana,657,7968,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Coconut ,3668,12700000,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Tapioca,186.5,1355,3157.1
Andaman and Nicobar Islands,2002,Kharif     ,Rice,10695.8,31600.82,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Arecanut,3105,5267,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Banana,1524,10882,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Black pepper,487,102.5,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Cashewnut,81,24,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Coconut ,7060,26830000,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Dry chillies,239,20.9,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Dry ginger,352,1145,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,other oilseeds,85.1,40.31,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Sugarcane,455,13760,2620.2
Andaman and Nicobar Islands,2003,Kharif     ,Rice,10509.37,30760.7,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Arecanut,3118,5182,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Banana,1530,11558,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Black pepper,497,104.37,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Cashewnut,116.5,26.14,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Coconut ,7110,26660000,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Dry chillies,340,578,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Dry ginger,406,1299.2,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,other oilseeds,82.09,35.51,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Sugarcane,268,2879.52,2355.9
Andaman and Nicobar Islands,2004,Kharif     ,Rice,10681.98,29119.66,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Arecanut,3160.67,3975.2,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Banana,1912.1,17374.4,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Black pepper,570,104.36,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Cashewnut,116.5,25.1,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Coconut ,7156.7,34750000,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Dry chillies,340,822.8,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Dry ginger,410,1462,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,other oilseeds,89.3,46.5,2460.1
Andaman and Nicobar Islands,2004,Whole Year ,Sugarcane,145.26,1560,2460.1
Andaman and Nicobar Islands,2005,Kharif     ,Rice,8683.38,25870.98,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Arecanut,3250.78,3058.46,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Banana,1656.8,10251.13,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Black pepper,656.45,35.95,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Cashewnut,118.5,30.22,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Coconut ,7050.45,26430000,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Dry chillies,370.7,877.6,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Dry ginger,200,1800,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,other oilseeds,53.55,34.2,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Sugarcane,128.02,2448.2,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Sweet potato,131.9,700.35,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Tapioca,254.5,1480,2954.7
Andaman and Nicobar Islands,2005,Whole Year ,Turmeric,81.7,572,2954.7
Andaman and Nicobar Islands,2006,Kharif     ,Rice,921.87,2539.64,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Arecanut,2000,2350,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Banana,483,4150,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Black pepper,413.1,20.18,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,79.5,26,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Coconut ,3483.09,14190000,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry chillies,124.6,34.7,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Dry ginger,100.9,900,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,other oilseeds,24,14.98,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,53.5,999.5,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Sweet potato,30.4,220,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Tapioca,40,160,2404.7
Andaman and Nicobar Islands,2006,Whole Year ,Turmeric,10,60,2404.7
Andaman and Nicobar Islands,2010,Autumn     ,Rice,1595.5,3788,3157.1
Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,67.5,402,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Arecanut,1912,1900,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Arhar/Tur,20.5,13.2,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Black pepper,409,98,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Cashewnut,15,10.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Dry chillies,128,148,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Dry ginger,94,828.52,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Groundnut,15.5,7.6,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Maize,73,253,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Moong(Green Gram),29.9,17.85,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Sunflower,1,0.5,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Sweet potato,32,235,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Turmeric,10,105,3157.1
Andaman and Nicobar Islands,2010,Rabi       ,Urad,34,15.05,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Banana,360,5517,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Coconut ,3540,11000000,3157.1
Andaman and Nicobar Islands,2010,Whole Year ,Tapioca,22.5,220,3157.1
Arunachal Pradesh,2004,Kharif     ,Maize,2453,2674,2545.7
Arunachal Pradesh,2004,Kharif     ,Rice,3342,1914,2545.7
Arunachal Pradesh,2004,Kharif     ,Small millets,532,495,2545.7
Arunachal Pradesh,2004,Rabi       ,Wheat,30,60,2545.7
Arunachal Pradesh,2004,Whole Year ,Dry chillies,13,18,2545.7
Arunachal Pradesh,2004,Whole Year ,Dry ginger,60,420,2545.7
Arunachal Pradesh,2004,Whole Year ,Potato,86,688,2545.7
Arunachal Pradesh,2004,Whole Year ,Sugarcane,5,50,2545.7
Arunachal Pradesh,2004,Whole Year ,Turmeric,8,20,2545.7
Arunachal Pradesh,2005,Kharif     ,Maize,3000,2700,2335.5
Arunachal Pradesh,2005,Kharif     ,Rice,3400,5000,2335.5
Arunachal Pradesh,2005,Kharif     ,Small millets,585,525,2335.5
Arunachal Pradesh,2005,Rabi       ,Wheat,32,65,2335.5
Arunachal Pradesh,2005,Whole Year ,Dry chillies,20,28,2335.5
Arunachal Pradesh,2005,Whole Year ,Dry ginger,65,455,2335.5
Arunachal Pradesh,2005,Whole Year ,Potato,90,720,2335.5
Arunachal Pradesh,2005,Whole Year ,Sugarcane,7,70,2335.5
Arunachal Pradesh,2005,Whole Year ,Turmeric,10,25,2335.5
Arunachal Pradesh,2006,Kharif     ,Maize,3234,3719,2259.6
Arunachal Pradesh,2006,Kharif     ,Rice,4060,3004,2259.6
Arunachal Pradesh,2006,Kharif     ,Small millets,586,492,2259.6
Arunachal Pradesh,2006,Rabi       ,Wheat,34,73,2259.6
Arunachal Pradesh,2006,Whole Year ,Dry chillies,21,30,2259.6
Arunachal Pradesh,2006,Whole Year ,Dry ginger,158,1199,2259.6
Arunachal Pradesh,2006,Whole Year ,Oilseeds total,76,75,2259.6
Arunachal Pradesh,2006,Whole Year ,Potato,102,925,2259.6
Arunachal Pradesh,2006,Whole Year ,Sugarcane,7,7,2259.6
Arunachal Pradesh,2006,Whole Year ,Turmeric,15,76,2259.6
Arunachal Pradesh,2007,Kharif     ,Maize,3360,3763,3020.7
Arunachal Pradesh,2007,Kharif     ,Rice,4085,2530,3020.7
Arunachal Pradesh,2007,Kharif     ,Small millets,635,521,3020.7
Arunachal Pradesh,2007,Rabi       ,Wheat,30,48,3020.7
Arunachal Pradesh,2007,Whole Year ,Dry chillies,22,314,3020.7
Arunachal Pradesh,2007,Whole Year ,Dry ginger,160,1179,3020.7
Arunachal Pradesh,2007,Whole Year ,Oilseeds total,95,98,3020.7
Arunachal Pradesh,2007,Whole Year ,Potato,104,847,3020.7
Arunachal Pradesh,2007,Whole Year ,Sugarcane,6,36,3020.7
Arunachal Pradesh,2007,Whole Year ,Turmeric,18,90,3020.7
Arunachal Pradesh,2008,Kharif     ,Maize,3461,4049,2244.4
Arunachal Pradesh,2008,Kharif     ,Rice,3901,2516,2244.4
Arunachal Pradesh,2008,Kharif     ,Small millets,667,553,2244.4
Arunachal Pradesh,2008,Rabi       ,Wheat,30,49,2244.4
Arunachal Pradesh,2008,Whole Year ,Dry chillies,20,26,2244.4
Arunachal Pradesh,2008,Whole Year ,Dry ginger,168,1267,2244.4
Arunachal Pradesh,2008,Whole Year ,Oilseeds total,100,95,2244.4
Arunachal Pradesh,2008,Whole Year ,Potato,115,936,2244.4
Arunachal Pradesh,2008,Whole Year ,Sugarcane,7,38,2244.4
Arunachal Pradesh,2008,Whole Year ,Turmeric,19,93,2244.4
Arunachal Pradesh,2009,Kharif     ,Maize,3490,4257,1749.9
Arunachal Pradesh,2009,Kharif     ,Rice,3945,2355.33,1749.9
Arunachal Pradesh,2009,Kharif     ,Small millets,675,499,1749.9
Arunachal Pradesh,2009,Rabi       ,Wheat,25,37,1749.9
Arunachal Pradesh,2009,Whole Year ,Dry chillies,18,25,1749.9
Arunachal Pradesh,2009,Whole Year ,Dry ginger,200,1600,1749.9
Arunachal Pradesh,2009,Whole Year ,Oilseeds total,3945,3533,1749.9
Arunachal Pradesh,2009,Whole Year ,Potato,120,1080,1749.9
Arunachal Pradesh,2009,Whole Year ,Sugarcane,6,31,1749.9
Arunachal Pradesh,2009,Whole Year ,Turmeric,22,66,1749.9
Arunachal Pradesh,2010,Kharif     ,Maize,3450,4485,2855.7
Arunachal Pradesh,2010,Kharif     ,Rice,3949,3631,2855.7
Arunachal Pradesh,2010,Kharif     ,Small millets,695,556,2855.7
Arunachal Pradesh,2010,Rabi       ,Wheat,10,15,2855.7
Arunachal Pradesh,2010,Whole Year ,Dry chillies,20,30,2855.7
Arunachal Pradesh,2010,Whole Year ,Dry ginger,115,920,2855.7
Arunachal Pradesh,2010,Whole Year ,Oilseeds total,137,137,2855.7
Arunachal Pradesh,2010,Whole Year ,Potato,110,935,2855.7
Arunachal Pradesh,2010,Whole Year ,Turmeric,20,50,2855.7
Arunachal Pradesh,2011,Kharif     ,Maize,3560,4747,2193.7
Arunachal Pradesh,2011,Kharif     ,Rice,3489,2988,2193.7
Arunachal Pradesh,2011,Kharif     ,Small millets,1381,1104,2193.7
Arunachal Pradesh,2011,Rabi       ,Wheat,10,16,2193.7
Arunachal Pradesh,2011,Whole Year ,Dry chillies,22,35,2193.7
Arunachal Pradesh,2011,Whole Year ,Dry ginger,118,950,2193.7
Arunachal Pradesh,2011,Whole Year ,Oilseeds total,139,154,2193.7
Arunachal Pradesh,2011,Whole Year ,Potato,117,1043,2193.7
Arunachal Pradesh,2011,Whole Year ,Turmeric,20,51,2193.7
Arunachal Pradesh,2012,Kharif     ,Maize,3995,3885,3440.3
Arunachal Pradesh,2012,Kharif     ,Rice,3561,2996,3440.3
Arunachal Pradesh,2012,Kharif     ,Small millets,1381,1105,3440.3
Arunachal Pradesh,2012,Rabi       ,Wheat,13,20,3440.3
Arunachal Pradesh,2012,Whole Year ,Dry chillies,24,96,3440.3
Arunachal Pradesh,2012,Whole Year ,Dry ginger,120,980,3440.3
Arunachal Pradesh,2012,Whole Year ,Oilseeds total,139,139,3440.3
Arunachal Pradesh,2012,Whole Year ,Potato,120,1022,3440.3
Arunachal Pradesh,2012,Whole Year ,Turmeric,18,41,3440.3
Arunachal Pradesh,2013,Kharif     ,Maize,3595,3885,2042.9
Arunachal Pradesh,2013,Kharif     ,Rice,3561,2624,2042.9
Arunachal Pradesh,2013,Kharif     ,Small millets,1381,1105,2042.9
Arunachal Pradesh,2013,Rabi       ,Wheat,13,20,2042.9
Arunachal Pradesh,2013,Whole Year ,Dry chillies,24,95,2042.9
Arunachal Pradesh,2013,Whole Year ,Dry ginger,120,980,2042.9
Arunachal Pradesh,2013,Whole Year ,Oilseeds total,139,139,2042.9
Arunachal Pradesh,2013,Whole Year ,Potato,120,1022,2042.9
Arunachal Pradesh,2013,Whole Year ,Turmeric,18,40,2042.9
Arunachal Pradesh,2014,Kharif     ,Maize,1290,3197,2403.2
Arunachal Pradesh,2014,Kharif     ,Rice,3561,2394,2403.2
Arunachal Pradesh,2014,Kharif     ,Small millets,2367,2792,2403.2
Arunachal Pradesh,2014,Whole Year ,Dry chillies,28,57,2403.2
Arunachal Pradesh,2014,Whole Year ,Dry ginger,63,1270,2403.2
Arunachal Pradesh,2014,Whole Year ,Oilseeds total,254,246,2403.2
Arunachal Pradesh,2014,Whole Year ,Potato,33,138,2403.2
Arunachal Pradesh,2014,Whole Year ,Turmeric,27,613,2403.2
Arunachal Pradesh,1997,Kharif     ,Maize,1520,2725,2274.9
Arunachal Pradesh,1997,Kharif     ,Rice,11500,13800,2274.9
Arunachal Pradesh,1997,Kharif     ,Sesamum,424,313,2274.9
Arunachal Pradesh,1997,Kharif     ,Small millets,2000,1500,2274.9
Arunachal Pradesh,1997,Kharif     ,Soyabean,373,450,2274.9
Arunachal Pradesh,1997,Kharif     ,Sunflower,51,24,2274.9
Arunachal Pradesh,1997,Rabi       ,Groundnut,285,277,2274.9
Arunachal Pradesh,1997,Rabi       ,Rapeseed &Mustard,4205,3300,2274.9
Arunachal Pradesh,1997,Rabi       ,Sugarcane,230,4695,2274.9
Arunachal Pradesh,1997,Rabi       ,Wheat,240,260,2274.9
Arunachal Pradesh,1997,Whole Year ,Oilseeds total,5500,4450,2274.9
Arunachal Pradesh,1998,Kharif     ,Maize,1575,2450,3616.7
Arunachal Pradesh,1998,Kharif     ,Rice,11550,14316,3616.7
Arunachal Pradesh,1998,Kharif     ,Sesamum,430,244,3616.7
Arunachal Pradesh,1998,Kharif     ,Small millets,2000,1305,3616.7
Arunachal Pradesh,1998,Kharif     ,Soyabean,520,592,3616.7
Arunachal Pradesh,1998,Kharif     ,Sunflower,55,20,3616.7
Arunachal Pradesh,1998,Rabi       ,Groundnut,120,126,3616.7
Arunachal Pradesh,1998,Rabi       ,Rapeseed &Mustard,4215,3200,3616.7
Arunachal Pradesh,1998,Rabi       ,Wheat,225,230,3616.7
Arunachal Pradesh,1998,Whole Year ,Dry chillies,535,470,3616.7
Arunachal Pradesh,1998,Whole Year ,Dry ginger,150,795,3616.7
Arunachal Pradesh,1998,Whole Year ,Oilseeds total,5625,4295,3616.7
Arunachal Pradesh,1998,Whole Year ,Potato,350,1650,3616.7
Arunachal Pradesh,1998,Whole Year ,Sugarcane,240,4650,3616.7
Arunachal Pradesh,1998,Whole Year ,Turmeric,105,535,3616.7
Arunachal Pradesh,1999,Kharif     ,Maize,1620,2610,2316.6
Arunachal Pradesh,1999,Kharif     ,Rice,11600,13733,2316.6
Arunachal Pradesh,1999,Kharif     ,Small millets,2000,1375,2316.6
Arunachal Pradesh,1999,Rabi       ,Wheat,225,235,2316.6
Arunachal Pradesh,1999,Whole Year ,Dry chillies,540,485,2316.6
Arunachal Pradesh,1999,Whole Year ,Dry ginger,155,850,2316.6
Arunachal Pradesh,1999,Whole Year ,Oilseeds total,5675,4475,2316.6
Arunachal Pradesh,1999,Whole Year ,Potato,350,1775,2316.6
Arunachal Pradesh,1999,Whole Year ,Pulses total,1190,775,2316.6
Arunachal Pradesh,1999,Whole Year ,Sugarcane,255,4800,2316.6
Arunachal Pradesh,1999,Whole Year ,Turmeric,110,565,2316.6
Arunachal Pradesh,2000,Kharif     ,Maize,864,1322,2596.8
Arunachal Pradesh,2000,Kharif     ,Rice,11925,16387,2596.8
Arunachal Pradesh,2000,Kharif     ,Small millets,2000,1375,2596.8
Arunachal Pradesh,2000,Rabi       ,Wheat,225,235,2596.8
Arunachal Pradesh,2000,Whole Year ,Dry chillies,314,415,2596.8
Arunachal Pradesh,2000,Whole Year ,Dry ginger,437,2308,2596.8
Arunachal Pradesh,2000,Whole Year ,Oilseeds total,3484,2857,2596.8
Arunachal Pradesh,2000,Whole Year ,Potato,755,3238,2596.8
Arunachal Pradesh,2000,Whole Year ,Pulses total,293,238,2596.8
Arunachal Pradesh,2000,Whole Year ,Sugarcane,215,648,2596.8
Arunachal Pradesh,2000,Whole Year ,Turmeric,99,455,2596.8
Arunachal Pradesh,2001,Kharif     ,Maize,985,1473,2036
Arunachal Pradesh,2001,Kharif     ,Rice,11857,16250,2036
Arunachal Pradesh,2001,Kharif     ,Small millets,2010,1608,2036
Arunachal Pradesh,2001,Rabi       ,Wheat,200,220,2036
Arunachal Pradesh,2001,Whole Year ,Dry chillies,308,410,2036
